81,G9,FALSE,CRII2020_Mote_AcML88,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,19,No Amp,,0,1.0342561006546021,-0.0061152172274887562,76.0648193359375,,,,Y,N,N,N,Y
82,G10,FALSE,CRII2020_Mote_AcML88,Acer,UNKNOWN,SYBR,None,17.345790863037109,17.446731567382812,0.14275306463241577,,,,,,,,FALSE,0.01,TRUE,3,16,Amp,,0.38996056105167071,3.9549376964569092,3.3882505893707275,75.033172607421875,,,,Y,N,N,N,N
83,G11,FALSE,CRII2020_Mote_AcML88,A,UNKNOWN,SYBR,None,20.363323211669922,20.855302810668945,0.69576424360275269,,,,,,,,FALSE,0.01,TRUE,3,19,Amp,,0.28491831464062412,4.1488223075866699,3.6508064270019531,87.56024169921875,,,,Y,N,Y,N,N
84,G12,FALSE,CRII2020_Mote_AcML88,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,1.0915830135345459,-0.001082474016584456,78.717605590820312,,,,Y,Y,N,N,Y
85,H1,FALSE,NTC,Acer,UNKNOWN,SYBR,None,Undetermined,39.968246459960938,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,0.57917284965515137,-0.0065824300982058048,63.685131072998047,,,,Y,Y,N,N,Y
86,H2,FALSE,NTC,A,UNKNOWN,SYBR,None,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,0.48833891749382019,-0.0033169807866215706,80.043998718261719,86.823348999023438,76.212188720703125,89.476142883300781,Y,Y,N,Y,Y
87,H3,FALSE,NTC,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,1.1963860988616943,0.0050783371552824974,80.191375732421875,,,,Y,Y,N,N,Y
88,H4,FALSE,CRII2020_Mote_AcML89,Acer,UNKNOWN,SYBR,None,18.697685241699219,18.158477783203125,0.76255452632904053,,,,,,,,FALSE,0.01,TRUE,3,17,Amp,,0.53719048168750894,4.2563667297363281,3.6620144844055176,75.033172607421875,,,,Y,N,Y,N,N
89,H5,FALSE,CRII2020_Mote_AcML89,A,UNKNOWN,SYBR,None,20.644527435302734,20.607719421386719,0.052053045481443405,,,,,,,,FALSE,0.01,TRUE,3,19,Amp,,0.4154243059751665,4.4618930816650391,3.914520263671875,87.56024169921875,,,,Y,N,N,N,N
90,H6,FALSE,CRII2020_Mote_AcML89,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,1.0737969875335693,-0.0031110376585274935,79.159736633300781,,,,Y,Y,N,N,Y
91,H7,FALSE,CRII2020_Mote_AcML89,Acer,UNKNOWN,SYBR,None,17.619270324707031,18.158477783203125,0.76255452632904053,,,,,,,,FALSE,0.01,TRUE,3,15,Amp,,0.29199112886326695,4.1208863258361816,3.5796535015106201,75.033172607421875,,,,Y,N,Y,N,N
92,H8,FALSE,CRII2020_Mote_AcML89,A,UNKNOWN,SYBR,None,20.570913314819336,20.607719421386719,0.052053045481443405,,,,,,,,FALSE,0.01,TRUE,3,19,Amp,,0.39503510722959073,4.5682110786437988,3.9879400730133057,87.56024169921875,,,,Y,N,N,N,N
93,H9,FALSE,CRII2020_Mote_AcML89,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,1.0626484155654907,-0.0074487980455160141,76.359573364257812,,,,Y,Y,N,N,Y
94,H10,FALSE,+,Acer,UNKNOWN,SYBR,None,17.080837249755859,17.183013916015625,0.1445009708404541,,,,,,,,FALSE,0.01,TRUE,3,17,Amp,,0.39318849976238474,4.0167732238769531,3.6457769870758057,75.033172607421875,,,,Y,N,N,N,N
95,H11,FALSE,+,A,UNKNOWN,SYBR,None,12.676136016845703,13.098512649536133,0.59733074903488159,,,,,,,,FALSE,0.01,TRUE,3,11,Amp,,0.27108454836713053,4.5663876533508301,4.1288790702819824,87.412857055664062,,,,Y,N,Y,N,N
96,H12,FALSE,+,D,UNKNOWN,FAM,NFQ-MGB,15.85460090637207,15.53852653503418,0.44699734449386597,,,,,,,,FALSE,0.01,TRUE,3,14,Amp,,0.47684081754798341,4.894406795501709,3.1298444271087646,60.5902099609375,,,,Y,N,N,N,N
