81,G9,FALSE,CRII2020_CRF_Ac32,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,1.0404491424560547,-0.0041557238437235355,77.088241577148438,,,,Y,Y,N,N,Y
82,G10,FALSE,CRII2020_CRF_Ac32,Acer,UNKNOWN,SYBR,None,18.190645217895508,17.919708251953125,0.3831627368927002,,,,,,,,FALSE,0.01,TRUE,3,17,Amp,,0.69869962235683836,4.1166033744812012,3.1951465606689453,75.025985717773438,,,,Y,N,N,N,N
83,G11,FALSE,CRII2020_CRF_Ac32,A,UNKNOWN,SYBR,None,20.578639984130859,19.904396057128906,0.95352357625961304,,,,,,,,FALSE,0.01,TRUE,3,19,Amp,,0.61345735798417933,4.3783769607543945,3.7007262706756592,87.54681396484375,,,,Y,N,Y,N,N
84,G12,FALSE,CRII2020_CRF_Ac32,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,1.0918145179748535,-0.0029470184817910194,76.646331787109375,,,,Y,Y,N,N,Y
85,H1,FALSE,NTC,Acer,UNKNOWN,SYBR,None,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,0.58472990989685059,0.0081628952175378799,60.000999450683594,,,,Y,Y,N,N,Y
86,H2,FALSE,NTC,A,UNKNOWN,SYBR,None,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,0.49056321382522583,-0.0026121595874428749,83.864212036132812,89.461761474609375,80.181625366210938,67.071578979492188,Y,Y,N,Y,Y
87,H3,FALSE,NTC,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,1.2204908132553101,0.0062680384144186974,76.4990234375,,,,Y,Y,N,N,Y
88,H4,FALSE,CRII2020_CRF_Ac33,Acer,UNKNOWN,SYBR,None,19.104192733764648,18.6748046875,0.60724639892578125,,,,,,,,FALSE,0.01,TRUE,3,18,Amp,,0.66660425116988153,4.3058047294616699,3.6270308494567871,75.173294067382812,,,,Y,N,Y,N,N
89,H5,FALSE,CRII2020_CRF_Ac33,A,UNKNOWN,SYBR,None,20.516458511352539,20.362403869628906,0.21786481142044067,,,,,,,,FALSE,0.01,TRUE,3,19,Amp,,0.54347770783976812,4.5503134727478027,4.0035710334777832,87.54681396484375,,,,Y,N,N,N,N
90,H6,FALSE,CRII2020_CRF_Ac33,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,1.0635296106338501,-0.0043372991494834423,77.235549926757812,,,,Y,Y,N,N,Y
91,H7,FALSE,CRII2020_CRF_Ac33,Acer,UNKNOWN,SYBR,None,18.245416641235352,18.6748046875,0.60724639892578125,,,,,,,,FALSE,0.01,TRUE,3,17,Amp,,0.46385217891858904,4.0499386787414551,3.4939610958099365,74.878684997558594,,,,Y,N,Y,N,N
92,H8,FALSE,CRII2020_CRF_Ac33,A,UNKNOWN,SYBR,None,20.208351135253906,20.362403869628906,0.21786481142044067,,,,,,,,FALSE,0.01,TRUE,3,19,Amp,,0.47848408731767822,4.3289151191711426,3.7723875045776367,87.54681396484375,,,,Y,N,N,N,N
93,H9,FALSE,CRII2020_CRF_Ac33,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,1.0656590461730957,-0.0074242595583200455,77.5301513671875,,,,Y,Y,N,N,Y
94,H10,FALSE,+,Acer,UNKNOWN,SYBR,None,19.017034530639648,18.918828964233398,0.13888365030288696,,,,,,,,FALSE,0.01,TRUE,3,18,Amp,,0.47473187845447196,3.923234224319458,3.5580179691314697,75.025985717773438,,,,Y,N,N,N,N
95,H11,FALSE,+,A,UNKNOWN,SYBR,None,12.926359176635742,12.86290168762207,0.089741766452789307,,,,,,,,FALSE,0.01,TRUE,3,12,Amp,,0.32165108802313308,4.6140131950378418,4.1488428115844727,87.54681396484375,,,,Y,N,N,N,N
96,H12,FALSE,+,D,UNKNOWN,FAM,NFQ-MGB,16.139369964599609,15.560407638549805,0.81877636909484863,,,,,,,,FALSE,0.01,TRUE,3,14,Amp,,0.57314562313367845,4.8871059417724609,3.092125415802002,60.000999450683594,,,,Y,N,Y,N,N
