82,G10,FALSE,CRII2020_RRT_Ap173,Acer,UNKNOWN,SYBR,None,19.078794479370117,18.910934448242188,0.23738993704319,,,,,,,,FALSE,0.01,TRUE,3,18,Amp,,0.60946443950485896,2.2195992469787598,1.9041038751602173,75.329689025878906,,,,N,Y,N,N,N
83,G11,FALSE,CRII2020_RRT_Ap173,A,UNKNOWN,SYBR,None,23.375370025634766,22.717502593994141,0.93036502599716187,,,,,,,,FALSE,0.01,TRUE,3,22,Amp,,0.78070614006325523,3.1424658298492432,2.7928698062896729,87.71136474609375,,,,N,Y,Y,N,N
84,G12,FALSE,CRII2020_RRT_Ap173,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,0.98150825500488281,-0.0010522507363930345,74.003082275390625,,,,Y,Y,N,N,Y
85,H1,FALSE,NTC,Acer,UNKNOWN,SYBR,None,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,0.42045727372169495,0.0018157470040023327,60,,,,Y,Y,N,N,Y
86,H2,FALSE,NTC,A,UNKNOWN,SYBR,None,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,0.34885290265083313,0.0004989417502656579,60,,,,Y,Y,N,N,Y
87,H3,FALSE,NTC,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,1.0596004724502563,0.0034285031724721193,76.656295776367188,,,,Y,Y,N,N,Y
88,H4,FALSE,CRII2020_RRT_Ap174,Acer,UNKNOWN,SYBR,None,17.836994171142578,17.874189376831055,0.05260196328163147,,,,,,,,FALSE,0.01,TRUE,3,16,Amp,,0.79317593854271229,2.4544739723205566,2.0870668888092041,75.329689025878906,,,,N,Y,N,N,N
89,H5,FALSE,CRII2020_RRT_Ap174,A,UNKNOWN,SYBR,None,20.01533317565918,19.929452896118164,0.12145305424928665,,,,,,,,FALSE,0.01,TRUE,3,19,Amp,,0.3430688350093688,3.5233263969421387,3.1540942192077637,87.563957214355469,,,,N,Y,N,N,N
90,H6,FALSE,CRII2020_RRT_Ap174,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,0.94737833738327026,-0.0041258875280618668,77.393302917480469,,,,Y,Y,N,N,Y
91,H7,FALSE,CRII2020_RRT_Ap174,Acer,UNKNOWN,SYBR,None,17.911384582519531,17.874189376831055,0.05260196328163147,,,,,,,,FALSE,0.01,TRUE,3,16,Amp,,0.76551011667553159,2.4800803661346436,2.1101241111755371,75.329689025878906,,,,N,Y,N,N,N
92,H8,FALSE,CRII2020_RRT_Ap174,A,UNKNOWN,SYBR,None,19.843572616577148,19.929452896118164,0.12145305424928665,,,,,,,,FALSE,0.01,TRUE,3,19,Amp,,0.32329286528803436,3.4610600471496582,3.0564255714416504,87.563957214355469,,,,N,Y,N,N,N
93,H9,FALSE,CRII2020_RRT_Ap174,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,0.93205493688583374,-0.0013593336334452033,78.130302429199219,,,,Y,Y,N,N,Y
94,H10,FALSE,+,Acer,UNKNOWN,SYBR,None,14.497102737426758,14.791301727294922,0.41606020927429199,,,,,,,,FALSE,0.01,TRUE,3,13,Amp,,0.63421640147858382,2.2614982128143311,2.0218842029571533,75.329689025878906,,,,N,Y,N,N,N
95,H11,FALSE,+,A,UNKNOWN,SYBR,None,7.4824638366699219,7.336125373840332,0.2069534957408905,,,,,,,,FALSE,0.01,TRUE,3,6,Amp,,0.50520109912167399,3.7194793224334717,3.3630220890045166,87.71136474609375,,,,N,Y,N,N,N
96,H12,FALSE,+,D,UNKNOWN,FAM,NFQ-MGB,8.7705755233764648,8.5259666442871094,0.34592920541763306,,,,,,,,FALSE,0.01,TRUE,3,7,Amp,,0.56470808674276363,4.498537540435791,2.6508748531341553,60,,,,N,Y,N,N,N
